syd,did,wei
1,1,0.6721899641218857
2,1,0.6721899641218857
3,1,0.6721899641218857
4,1,0.6721899641218857
5,1,0.6721899641218857
6,1,0.6721899641218857
7,1,0.6721899641218857
8,1,0.6721899641218857
9,1,0.6721899641218857
10,1,0.6721899641218857
11,1,0.6721899641218857
12,1,0.6721899641218857
13,1,0.6721899641218857
14,2,0.24615651119483783
15,2,0.24615651119483783
2,2,0.24615651119483783
1,2,0.24615651119483783
4,2,0.24615651119483783
11,2,0.24615651119483783
16,2,0.24615651119483783
17,2,0.24615651119483783
8,2,0.24615651119483783
9,2,0.24615651119483783
18,2,0.24615651119483783
19,2,0.24615651119483783
7,2,0.24615651119483783
20,2,0.24615651119483783
21,2,0.24615651119483783
22,3,0.16543241955740332
23,3,0.16543241955740332
24,3,0.16543241955740332
25,3,0.16543241955740332
26,3,0.16543241955740332
27,3,0.16543241955740332
28,3,0.16543241955740332
29,3,0.16543241955740332
30,3,0.16543241955740332
31,3,0.16543241955740332
32,3,0.16543241955740332
33,3,0.16543241955740332
34,3,0.16543241955740332
35,3,0.16543241955740332
36,3,0.16543241955740332
37,3,0.16543241955740332
38,3,0.16543241955740332
39,3,0.16543241955740332
40,3,0.16543241955740332
41,3,0.16543241955740332
42,3,0.16543241955740332
22,4,0.16543241955740332
23,4,0.16543241955740332
24,4,0.16543241955740332
25,4,0.16543241955740332
26,4,0.16543241955740332
27,4,0.16543241955740332
28,4,0.16543241955740332
29,4,0.16543241955740332
30,4,0.16543241955740332
31,4,0.16543241955740332
32,4,0.16543241955740332
33,4,0.16543241955740332
34,4,0.16543241955740332
35,4,0.16543241955740332
36,4,0.16543241955740332
37,4,0.16543241955740332
38,4,0.16543241955740332
39,4,0.16543241955740332
40,4,0.16543241955740332
41,4,0.16543241955740332
42,4,0.16543241955740332
1,5,0.33363648174613486
12,5,0.33363648174613486
2,5,0.33363648174613486
43,5,0.33363648174613486
8,5,0.33363648174613486
9,5,0.33363648174613486
13,5,0.33363648174613486
44,5,0.33363648174613486
16,5,0.33363648174613486
45,5,0.33363648174613486
1,6,0.33363648174613486
12,6,0.33363648174613486
2,6,0.33363648174613486
43,6,0.33363648174613486
8,6,0.33363648174613486
9,6,0.33363648174613486
13,6,0.33363648174613486
44,6,0.33363648174613486
16,6,0.33363648174613486
45,6,0.33363648174613486
46,7,0.14072468425839185
47,7,0.14072468425839185
48,7,0.14072468425839185
2,7,0.14072468425839185
17,7,0.14072468425839185
49,7,0.14072468425839185
50,7,0.14072468425839185
51,7,0.14072468425839185
52,7,0.14072468425839185
53,7,0.14072468425839185
54,7,0.14072468425839185
55,7,0.14072468425839185
56,7,0.14072468425839185
57,7,0.14072468425839185
58,7,0.14072468425839185
59,7,0.14072468425839185
60,7,0.14072468425839185
61,7,0.14072468425839185
62,7,0.14072468425839185
2,8,0.3574676590137159
16,8,0.3574676590137159
63,8,0.3574676590137159
17,8,0.3574676590137159
64,8,0.3574676590137159
46,8,0.3574676590137159
57,8,0.3574676590137159
65,9,0.2874496557100169
4,9,0.2874496557100169
66,9,0.2874496557100169
67,9,0.2874496557100169
68,9,0.2874496557100169
18,9,0.2874496557100169
69,9,0.2874496557100169
70,9,0.2874496557100169
57,10,0.24107516637073603
46,10,0.24107516637073603
2,10,0.24107516637073603
45,10,0.24107516637073603
56,10,0.24107516637073603
50,10,0.24107516637073603
49,10,0.24107516637073603
71,10,0.24107516637073603
59,10,0.24107516637073603
1,11,0.10379983999234149
72,11,0.10379983999234149
8,11,0.10379983999234149
9,11,0.10379983999234149
2,11,0.10379983999234149
73,11,0.10379983999234149
43,11,0.10379983999234149
12,11,0.10379983999234149
13,11,0.10379983999234149
74,11,0.10379983999234149
16,11,0.10379983999234149
17,11,0.10379983999234149
45,11,0.10379983999234149
75,11,0.10379983999234149
10,11,0.10379983999234149
64,11,0.10379983999234149
76,11,0.10379983999234149
77,11,0.10379983999234149
6,11,0.10379983999234149
78,12,0.11866095015373955
1,12,0.11866095015373955
8,12,0.11866095015373955
9,12,0.11866095015373955
79,12,0.11866095015373955
13,12,0.11866095015373955
6,12,0.11866095015373955
70,12,0.11866095015373955
76,12,0.11866095015373955
2,12,0.11866095015373955
73,12,0.11866095015373955
33,12,0.11866095015373955
74,12,0.11866095015373955
77,12,0.11866095015373955
64,12,0.11866095015373955
47,13,0.13641678576068594
80,13,0.13641678576068594
48,13,0.13641678576068594
81,13,0.13641678576068594
53,13,0.13641678576068594
82,13,0.13641678576068594
83,13,0.13641678576068594
84,13,0.13641678576068594
85,13,0.13641678576068594
78,13,0.13641678576068594
86,13,0.13641678576068594
46,13,0.13641678576068594
47,14,0.1292711446017929
87,14,0.1292711446017929
88,14,0.1292711446017929
89,14,0.1292711446017929
90,14,0.1292711446017929
4,14,0.1292711446017929
91,14,0.1292711446017929
92,14,0.1292711446017929
59,14,0.1292711446017929
93,14,0.1292711446017929
19,14,0.1292711446017929
94,14,0.1292711446017929
53,15,0.0706768870988697
95,15,0.0706768870988697
96,15,0.0706768870988697
97,15,0.0706768870988697
98,15,0.0706768870988697
99,15,0.0706768870988697
100,15,0.0706768870988697
4,15,0.0706768870988697
101,15,0.0706768870988697
102,15,0.0706768870988697
103,15,0.0706768870988697
104,15,0.0706768870988697
91,15,0.0706768870988697
3,15,0.0706768870988697
2,15,0.0706768870988697
78,15,0.0706768870988697
54,15,0.0706768870988697
105,15,0.0706768870988697
85,15,0.0706768870988697
106,15,0.0706768870988697
2,16,0.13615694426399896
57,16,0.13615694426399896
46,16,0.13615694426399896
64,16,0.13615694426399896
59,16,0.13615694426399896
107,16,0.13615694426399896
108,16,0.13615694426399896
109,16,0.13615694426399896
110,16,0.13615694426399896
45,16,0.13615694426399896
47,17,0.07275561907236586
5,17,0.07275561907236586
18,17,0.07275561907236586
90,17,0.07275561907236586
34,17,0.07275561907236586
97,17,0.07275561907236586
6,17,0.07275561907236586
17,17,0.07275561907236586
111,17,0.07275561907236586
46,17,0.07275561907236586
112,17,0.07275561907236586
112,17,0.07275561907236586
78,17,0.07275561907236586
67,17,0.07275561907236586
113,17,0.07275561907236586
54,17,0.07275561907236586
114,17,0.07275561907236586
24,17,0.07275561907236586
2,18,0.06801733295630841
115,18,0.06801733295630841
16,18,0.06801733295630841
17,18,0.06801733295630841
116,18,0.06801733295630841
117,18,0.06801733295630841
95,18,0.06801733295630841
4,18,0.06801733295630841
86,18,0.06801733295630841
19,18,0.06801733295630841
64,18,0.06801733295630841
39,18,0.06801733295630841
83,18,0.06801733295630841
118,18,0.06801733295630841
52,18,0.06801733295630841
85,18,0.06801733295630841
43,18,0.06801733295630841
69,19,0.05300766532415227
119,19,0.05300766532415227
90,19,0.05300766532415227
66,19,0.05300766532415227
5,19,0.05300766532415227
94,19,0.05300766532415227
19,19,0.05300766532415227
120,19,0.05300766532415227
111,19,0.05300766532415227
34,19,0.05300766532415227
121,19,0.05300766532415227
4,19,0.05300766532415227
122,19,0.05300766532415227
3,19,0.05300766532415227
123,19,0.05300766532415227
65,19,0.05300766532415227
124,19,0.05300766532415227
35,19,0.05300766532415227
91,19,0.05300766532415227
18,19,0.05300766532415227
78,20,0.09566891468931225
125,20,0.09566891468931225
126,20,0.09566891468931225
127,20,0.09566891468931225
128,20,0.09566891468931225
4,20,0.09566891468931225
79,20,0.09566891468931225
56,20,0.09566891468931225
15,20,0.09566891468931225
129,20,0.09566891468931225
114,20,0.09566891468931225
2,21,0.044963876383232314
130,21,0.044963876383232314
128,21,0.044963876383232314
122,21,0.044963876383232314
91,21,0.044963876383232314
5,21,0.044963876383232314
114,21,0.044963876383232314
14,21,0.044963876383232314
118,21,0.044963876383232314
39,21,0.044963876383232314
6,21,0.044963876383232314
40,21,0.044963876383232314
66,21,0.044963876383232314
131,21,0.044963876383232314
4,21,0.044963876383232314
101,21,0.044963876383232314
132,21,0.044963876383232314
34,21,0.044963876383232314
19,21,0.044963876383232314
28,21,0.044963876383232314
20,21,0.044963876383232314
70,21,0.044963876383232314
133,21,0.044963876383232314
33,22,0.042224243211640894
22,22,0.042224243211640894
23,22,0.042224243211640894
27,22,0.042224243211640894
25,22,0.042224243211640894
29,22,0.042224243211640894
35,22,0.042224243211640894
30,22,0.042224243211640894
26,22,0.042224243211640894
134,22,0.042224243211640894
135,22,0.042224243211640894
32,22,0.042224243211640894
136,22,0.042224243211640894
39,22,0.042224243211640894
1,22,0.042224243211640894
110,22,0.042224243211640894
34,22,0.042224243211640894
10,22,0.042224243211640894
24,22,0.042224243211640894
31,22,0.042224243211640894
137,22,0.042224243211640894
78,22,0.042224243211640894
94,22,0.042224243211640894
40,22,0.042224243211640894
78,23,0.009354293880732754
133,23,0.009354293880732754
138,23,0.009354293880732754
139,23,0.009354293880732754
140,23,0.009354293880732754
141,23,0.009354293880732754
142,23,0.009354293880732754
117,23,0.009354293880732754
143,23,0.009354293880732754
